Type,Identifier,RubricIdentifier,CriterionIdentifier,Title,Description,Category,Weight,Position,Quality,Score,Feedback,CFItemIdentifier
Rubric,20000000-0000-0000-0000-000000000001,,,プログラミング基礎 評価ルーブリック,プログラミングと開発実践の領域におけるスキル評価,,,,,,,
Criterion,20000000-0000-0000-0000-000000000011,20000000-0000-0000-0000-000000000001,,,プログラムの正確性,コード品質,0.3,1,,,,10000000-0000-0000-0000-000000000021
Level,20000000-0000-0000-0000-000000000111,,20000000-0000-0000-0000-000000000011,,要件を完全に満たす正確なプログラムを作成できる,,,,Excellent,4.0,仕様通りの動作を確認できている,
Level,20000000-0000-0000-0000-000000000112,,20000000-0000-0000-0000-000000000011,,主要な要件を満たすプログラムを作成できる,,,,Good,3.0,軽微な不具合があるが主要機能は動作する,
Level,20000000-0000-0000-0000-000000000113,,20000000-0000-0000-0000-000000000011,,基本的な機能を持つプログラムを作成できるが不具合がある,,,,Adequate,2.0,基本構造は理解しているが修正が必要,
Level,20000000-0000-0000-0000-000000000114,,20000000-0000-0000-0000-000000000011,,プログラムの完成に至らない,,,,Needs Improvement,1.0,基礎から再学習が必要,
Criterion,20000000-0000-0000-0000-000000000012,20000000-0000-0000-0000-000000000001,,,コードの可読性,コード品質,0.2,2,,,,10000000-0000-0000-0000-000000000024
Level,20000000-0000-0000-0000-000000000121,,20000000-0000-0000-0000-000000000012,,命名規則・インデント・コメントが一貫し他者が容易に理解できる,,,,Excellent,4.0,チーム開発に適したコード品質,
Level,20000000-0000-0000-0000-000000000122,,20000000-0000-0000-0000-000000000012,,概ね読みやすいが一部改善の余地がある,,,,Good,3.0,コードレビューで軽微な指摘がある程度,
Level,20000000-0000-0000-0000-000000000123,,20000000-0000-0000-0000-000000000012,,可読性に課題がありコメントや構造の改善が必要,,,,Adequate,2.0,意図を読み取るのに時間がかかる,
Level,20000000-0000-0000-0000-000000000124,,20000000-0000-0000-0000-000000000012,,コードの構造が整理されておらず理解が困難,,,,Needs Improvement,1.0,可読性の基本原則の学習が必要,
Criterion,20000000-0000-0000-0000-000000000013,20000000-0000-0000-0000-000000000001,,,バージョン管理の活用,開発プロセス,0.2,3,,,,10000000-0000-0000-0000-000000000022
Level,20000000-0000-0000-0000-000000000131,,20000000-0000-0000-0000-000000000013,,適切な粒度でコミットしブランチ戦略を用いて共同開発できる,,,,Excellent,4.0,チーム開発のワークフローを主導できる,
Level,20000000-0000-0000-0000-000000000132,,20000000-0000-0000-0000-000000000013,,基本的なコミットとブランチ操作ができる,,,,Good,3.0,日常的な Git 操作に問題はない,
Level,20000000-0000-0000-0000-000000000133,,20000000-0000-0000-0000-000000000013,,コミットはできるがブランチ操作やコンフリクト解決に不安がある,,,,Adequate,2.0,基本操作の反復練習を推奨,
Level,20000000-0000-0000-0000-000000000134,,20000000-0000-0000-0000-000000000013,,バージョン管理の概念を理解していない,,,,Needs Improvement,1.0,Git の基礎チュートリアルから始めること,
Criterion,20000000-0000-0000-0000-000000000014,20000000-0000-0000-0000-000000000001,,,テストの実践,開発プロセス,0.3,4,,,,10000000-0000-0000-0000-000000000023
Level,20000000-0000-0000-0000-000000000141,,20000000-0000-0000-0000-000000000014,,テストケースを網羅的に設計し CI パイプラインを構築できる,,,,Excellent,4.0,品質保証の仕組みを自律的に構築できる,
Level,20000000-0000-0000-0000-000000000142,,20000000-0000-0000-0000-000000000014,,主要な機能に対するユニットテストを作成できる,,,,Good,3.0,テストの習慣が身についている,
Level,20000000-0000-0000-0000-000000000143,,20000000-0000-0000-0000-000000000014,,テストの必要性は理解しているが実践が不十分,,,,Adequate,2.0,テストコードの記述練習が必要,
Level,20000000-0000-0000-0000-000000000144,,20000000-0000-0000-0000-000000000014,,テストを書く習慣がない,,,,Needs Improvement,1.0,テスト駆動開発の基礎を学ぶこと,
Rubric,20000000-0000-0000-0000-000000000002,,,卒業研究 評価ルーブリック,総合実践の領域における卒業研究プロジェクトの評価,,,,,,,
